sourcemac;timestamp;x_m;y_m;z_m
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:11:00;23.128;41.753;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:11:30;23.128;41.753;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:12:00;23.128;41.753;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:12:30;-73.549;-68.247;18.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:13:00;36.462;-71.104;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:13:30;23.128;41.753;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:14:00;18.016;64.388;15.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:14:30;24.112;72.578;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:15:00;79.863;60.324;15.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:15:30;71.227;66.229;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:16:00;79.863;60.324;15.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:16:30;53.099;64.356;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:17:00;24.112;72.578;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:17:30;12.744;72.028;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:18:00;12.744;72.028;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:18:30;12.744;72.028;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:19:00;12.744;72.028;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:19:30;12.744;97.001;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:20:00;70.781;55.584;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:20:30;70.781;55.584;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:21:00;94.803;0.727;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:21:30;94.803;0.727;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:22:00;94.803;0.727;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:22:30;94.803;0.727;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:23:00;94.803;0.727;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:23:30;58.496;-40.945;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:24:00;63.068;-79.231;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:24:30;58.496;-40.945;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:25:00;83.006;-51.929;15.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:25:30;58.496;-40.945;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:26:00;58.496;-40.945;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:26:30;58.496;-40.945;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:27:00;58.496;-40.945;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:27:30;58.496;-40.945;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:28:00;67.881;-57.409;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:28:30;112.117;-19.822;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:29:00;67.881;-57.409;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:29:30;67.881;-57.409;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:30:00;67.881;-57.409;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:30:30;58.528;-13.358;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:31:00;58.528;23.372;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:31:30;58.528;23.372;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:32:00;58.528;-13.358;24.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:32:30;67.881;-57.409;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:33:00;95.375;-57.049;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:33:30;67.881;-57.409;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:34:00;94.803;0.727;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:34:30;94.803;0.727;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:35:00;94.803;0.727;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:35:30;70.781;55.584;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:36:00;70.781;55.584;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:36:30;70.781;55.584;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:37:00;12.744;72.028;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:37:30;12.744;72.028;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:38:00;12.744;72.028;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:38:30;12.744;72.028;6.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:39:00;24.112;72.578;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:39:30;24.112;72.578;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:40:00;21.032;98.229;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:40:30;24.112;72.578;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:41:00;24.112;72.578;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:41:30;24.112;72.578;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:42:00;24.112;72.578;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:42:30;24.112;72.578;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:43:00;21.032;98.229;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:43:30;79.863;60.324;15.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:44:00;79.863;60.324;15.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:44:30;99.516;29.975;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:45:00;101.802;18.547;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:45:30;83.07;45.912;18.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:46:00;83.07;45.912;18.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:46:30;83.07;45.912;18.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:47:00;83.07;45.912;18.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:47:30;99.516;29.975;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:48:00;101.802;-17.675;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:48:30;101.802;-17.675;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:49:00;101.802;-17.675;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:49:30;101.802;-17.675;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:50:00;101.802;-17.675;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:50:30;101.802;-17.675;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:51:00;99.548;-29.167;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:51:30;101.802;-17.675;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:52:00;101.802;-17.675;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:52:30;101.802;-17.675;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:53:00;101.802;-17.675;12.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:53:30;83.006;-51.929;15.0
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 11:54:00;80.339;-57.866;12.0
