sourcemac;timestamp;x_m;y_m;z_m;eta
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:49:15;11.8722467864;72.0092108543;2.44821673258;-45.221952007
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:49:30;-2.53499351279;74.6265371061;2.97670723445;-51.0530615886
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:49:45;-0.0666009929699;72.5655981006;1.93134065451;-49.0319599191
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:50:00;-2.46625909759;72.9552916357;4.7457998832;-48.5117500652
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:50:15;2.13066524845;71.2459753215;1.7533346546;-45.5438079247
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:50:30;-4.93677770142;73.6560857107;3.32482559346;-48.611926441
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:50:45;-3.59440159518;73.7566335388;5.51682100785;-48.2398549003
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:51:00;-7.0707138407;70.4756467928;2.93627295338;-47.6943852483
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:51:15;16.8683272964;66.9951754745;8.29726888229;-46.3399933228
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:51:30;4.41822717144;70.070095741;7.75690455632;-47.449643414
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:51:45;-2.44603568683;71.7633652923;7.49231102035;-47.2262562459
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:52:00;-3.17309256271;74.3300404765;6.04286515122;-48.7402352567
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:52:15;17.6453829755;66.5928398542;8.8186482605;-46.029662863
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:52:30;-7.84215784497;64.6180354839;3.81247959063;-47.4139935402
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:52:45;-17.3907706622;67.531010579;-0.896668058046;-45.1298358437
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:53:00;-9.03053437235;63.6249886665;5.88892518317;-44.4596875331
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:53:15;17.415965306;65.2573595114;8.4412834186;-47.6582028805
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:53:30;-5.14344232513;72.8877435917;2.93252404083;-47.2728438314
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:53:45;-8.26372013122;72.480060966;0.88781120043;-46.5002997183
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:54:00;-6.49524044221;67.2826488035;5.59860839993;-46.3265029447
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:54:15;-3.64865065391;58.3664114332;4.06100365337;-43.5702051437
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:54:30;18.18722378;66.2113836781;8.65327810865;-47.9305681368
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:54:45;-3.75661158691;72.5349040967;3.24985266541;-47.094909917
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:55:00;-4.68071547913;73.7051910403;0.796155942311;-47.6669055033
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:55:15;-5.62537075723;71.3549544021;0.286305308156;-46.3990913436
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:55:30;17.5269764176;65.5643500596;8.29995098017;-44.7526443826
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:55:45;-10.230323022;64.5860088418;5.44643348092;-43.7818952516
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:56:00;-17.1139144787;67.3408246783;0.427358564021;-45.9364580291
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:56:15;-25.8226292715;65.9590717526;4.0577980272;-45.683701404
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:56:30;-2.74391355306;76.1715712148;8.24513549262;-45.4226068713
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:56:45;-0.480961931979;74.5706452221;8.95226776266;-51.3440915373
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:57:00;-0.419718699567;74.5418120802;8.94724840373;-52.6707002957
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:57:15;-0.35901775752;67.4385994031;-6.37312891057;-46.8857300911
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:57:30;1.02801958281;71.9657094942;5.5078305636;-45.5684225991
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:57:45;-0.240232402207;74.8384217259;8.48343038681;-53.8224017926
38f3bac0f9e453211a65d468359ded4a56669add0be69079924e901f0b41d4f6;2018-01-26 10:58:00;11.0480935227;74.4597095557;5.27040331835;-49.4851777694
